date,low,close,high
2021-03-10,106.95999908447266,107.77999877929688,109.06999969482422
2021-03-11,107.26000213623047,107.31999969482422,108.56999969482422
2021-03-12,106.58000183105469,107.80999755859375,107.98999786376953
2021-03-15,107.05999755859375,108.9000015258789,108.94999694824219
2021-03-16,109.88999938964844,111.33999633789062,112.33999633789062
2021-03-17,108.93000030517578,110.45999908447266,111.45999908447266
2021-03-18,107.5,107.62000274658203,110.2699966430664
2021-03-19,105.83000183105469,106.33999633789062,108.8499984741211
2021-03-22,106.0,107.56999969482422,108.41999816894531
2021-03-23,105.66999816894531,106.25,107.94999694824219
2021-03-24,104.94000244140625,104.97000122070312,107.27999877929688
2021-03-25,104.05999755859375,107.3499984741211,107.69999694824219
2021-03-26,107.18000030517578,109.9000015258789,110.0
2021-03-29,106.58999633789062,109.12999725341797,110.25
2021-03-30,108.27999877929688,110.2699966430664,110.44999694824219
2021-03-31,109.19000244140625,109.2699966430664,111.62000274658203
2021-04-01,108.19999694824219,109.37999725341797,110.05999755859375
2021-04-05,109.87000274658203,111.0199966430664,111.3499984741211
2021-04-06,111.0999984741211,113.1500015258789,113.81999969482422
2021-04-07,112.6500015258789,113.19000244140625,113.76000213623047
2021-04-08,112.68000030517578,113.04000091552734,113.95999908447266
2021-04-09,111.97000122070312,113.18000030517578,113.2699966430664
